S6_pS240_S244,RPS6,Validated,Rabbit,CST,2215,1:3000
S6,RPS6,Under Evaluation,Rabbit,CST,2217,1:1000
Shc_pY317,SHC1,Validated,Rabbit,CST,2431,1:1000
Smad1,SMAD1,Validated,Rabbit,Epitomics,1649-1,1:250
Smad3,SMAD3,Validated,Rabbit,Epitomics,1735-1,1:500
Smad4,SMAD4,Validated,Mouse,Santa Cruz,sc-7966,1:250
Src_pY416,SRC,Use with Caution,Rabbit,CST,2101,1:250
Src_pY527,SRC,Validated,Rabbit,CST,2105,1:400
Src,SRC,Validated,Mouse,Upstate (Millipore),05-184,1:200
STAT3_pY705,STAT3,Validated,Rabbit,CST,9131,1:500
STAT5-alpha,STAT5A,Validated,Rabbit,Epitomics,1289-1,1:250
Stathmin,STMN1,Validated,Rabbit,Epitomics,1972-1,1:500
Syk,SYK,Validated,Mouse,Santa Cruz,sc-1240,1:250
Tuberin,TSC2,Validated,Rabbit,Epitomics,1613-1,1:500
VEGFR2,KDR,Validated,Rabbit,CST,2479,1:700
XRCC1,XRCC1,Under Evaluation,Rabbit,CST,2735,1:200
YAP_pS127,YAP1,Under Evaluation,Rabbit,CST,4911,1:250
YAP,YAP1,Under Evaluation,Rabbit,Santa Cruz,sc-15407,1:750
YB-1_pS102,YBX1,Validated,Rabbit,CST,2900,1:250
YB-1,YBX1,Validated,Rabbit,SDI,1725.00.02,1:500
ASNS,ASNS,Validated,Rabbit,Sigma,HPA029318,1:500
EGFR,EGFR,Validated,Rabbit,CST,2232,1:100
4E-BP1_pT70,EIF4EBP1,Use with Caution,Rabbit,CST,9455,1:100
A-Raf_pS299,ARAF,Use with Caution,Rabbit,CST,4431,1:100
Annexin_VII,ANXA7,Validated,Mouse,BD Biosciences,610668,1:500
ARID1A,ARID1A,Validated,Mouse,Abgent,AT1188a,1:400
B-Raf,BRAF,Use with Caution,Mouse,Santa Cruz,sc-5284,1:250
Bad_pS112,BAD,Validated,Rabbit,CST,9291,1:100
Bap1 c-4,BAP1,Ender Evaluation,Mouse,Santa Cruz,sc-28383,1:500
BRCA2,BRCA2,Use with Caution,Rabbit,CST,9012,1:100
CD20,MS4A1,Use with Caution,Rabbit,Epitomics,1632,1:100
Cyclin_E2,CCNE2,Use with Caution,Rabbit,Epitomics,1142,1:100
eIF4G,EIF4G1,Use with Caution,Rabbit,CST,2498,1:100
FASN,FASN,Validated,Rabbit,CST,3180,1:1000
FOXO3a_pS318_S321,FOXO3,Use with Caution,Rabbit,CST,9465,1:250
FoxM1,FOXM1,Validated,Rabbit,CST,5436,1:250
G6PD,G6PD,Validated,Mouse,Santa Cruz,sc-373887,1:250
GAPDH,GAPDH,Use with Caution,Mouse,Ambion,AM4300,1:15000
GSK3_pS9,GSK3A GSK3B,Validated,Rabbit,CST,9336,1:500
Heregulin-,NRG1,Validated,Rabbit,CST,2573,1:250
MYH11,MYH11,Validated,Rabbit,SDI / Novus,21370002,1:1000
Myosin IIa pS1943,MYH9,Validated,Rabbit,CST,5026,1:1000
N-Ras,NRAS,Validated,Mouse,Santa Cruz,sc-31,1:250
NDRG1_pT346-,NDRG1,Validated,Rabbit,CST,3217,1:500
p21,CDKN1A,Validated,Rabbit,Santa Cruz,SC-397,1:100
p27_pT198,CDKN1B,Validated,Rabbit,Abcam,ab64949,1:250
p90RSK,RPS6KA1,Use with Caution,Rabbit,CST,9347,1:500
PDCD4,PDCD4,Use with Caution,Rabbit,Rockland,600-401-965,1:400
PDK1,PDK1,Validated,Rabbit,CST,3062,1:100
PEA15_pS116,PEA15,Validated,Rabbit,Invitrogen,44-836G,1:400
