Gene stable ID,UniProtKB Gene Name ID
ENSG00000074800,A0A2R8YEM5
ENSG00000074800,A0A2R8Y798
ENSG00000074800,A0A2R8Y6I8
ENSG00000074800,A0A2R8YEG5
ENSG00000074800,A0A2R8Y879
ENSG00000074800,A0A2R8Y6G6
ENSG00000074800,P06733
ENSG00000083444,Q5JXB8
ENSG00000083444,Q5JXB7
ENSG00000083444,Q02809
ENSG00000116273,A0A158RFV6
ENSG00000116273,Q86YI8
ENSG00000116285,I6S2Y9
ENSG00000116285,K7ENN7
ENSG00000116285,K7EJB4
ENSG00000116285,K7ENI4
ENSG00000116285,K7EMD2
ENSG00000116285,Q9UJM3
ENSG00000116288,K7ELW0
ENSG00000116288,K7EN27
ENSG00000116288,V9HWC2
ENSG00000116288,Q99497
ENSG00000116649,K7ESL0
ENSG00000116649,K7EKM4
ENSG00000116649,P19623
ENSG00000116661,R4GNH2
ENSG00000116661,Q9UK22
ENSG00000116663,Q9NRD1
ENSG00000116670,A0A024R4I4
ENSG00000116670,B1AK44
ENSG00000116670,B1AK45
ENSG00000116670,B1AK43
ENSG00000116670,Q9UI95
ENSG00000116685,Q8IYS2
ENSG00000116688,Q5JXC5
ENSG00000116688,O95140
ENSG00000116691,Q5JXC2
ENSG00000116721,O95521
ENSG00000116726,O95522
ENSG00000116731,D6RED5
ENSG00000116731,H0Y9J3
ENSG00000116731,D6RAA0
ENSG00000116731,D6RJM6
ENSG00000116731,S4R3F7
ENSG00000116731,Q13029
ENSG00000120937,P16860
ENSG00000120942,R4GNE3
ENSG00000120942,R4GN21
ENSG00000120942,Q9Y5Z9
ENSG00000120948,B1AKP7
ENSG00000120948,G3V162
ENSG00000120948,A0A0A0N0M3
ENSG00000120948,A0A0A0MSV7
ENSG00000120948,A0A087X260
ENSG00000120948,A0A087WXV3
ENSG00000120948,A0A087WZC9
ENSG00000120948,A0A024R4E2
ENSG00000120948,A0A087WYY0
ENSG00000120948,A0A087WX29
ENSG00000120948,K7EJ99
ENSG00000120948,K7EN94
ENSG00000120948,K7EJM5
ENSG00000120948,A0A1W2PNU8
ENSG00000120948,Q13148
ENSG00000120949,D6RAG8
ENSG00000120949,P28908
ENSG00000120952,O60811
ENSG00000130939,B1AQ61
ENSG00000130939,O95155
ENSG00000130940,K7EQC6
ENSG00000130940,Q86V15
ENSG00000131686,Q8N4G4
ENSG00000131686,F8W148
ENSG00000131686,P23280
ENSG00000132879,B7Z1P2
ENSG00000132879,A0A024R4F9
ENSG00000132879,A0A024R4J6
ENSG00000132879,R4GNH4
ENSG00000132879,A0A0A0MSI6
ENSG00000132879,Q9H4M3
ENSG00000142583,K7EIT1
ENSG00000142583,K7EJR1
ENSG00000142583,K7EQI3
ENSG00000142583,K7EJZ0
ENSG00000142583,P22732
ENSG00000142599,B1AKN3
ENSG00000142599,A0A590UJ84
ENSG00000142599,K7EJQ1
ENSG00000142599,H7BYW9
ENSG00000142599,K7EIE3
ENSG00000142599,K7EIQ4
ENSG00000142599,D6RA28
ENSG00000142599,A0A590UK57
ENSG00000142599,Q9P2R6
ENSG00000142621,H0Y3C6
ENSG00000142621,Q5JYW1
ENSG00000142621,H0YE38
ENSG00000142621,Q5JYW6
ENSG00000142621,H0YEU3
ENSG00000142621,B1AJZ9
ENSG00000142655,K7EK59
ENSG00000142655,O75381
ENSG00000142657,K7ELN9
ENSG00000142657,K7EMN2
ENSG00000142657,K7EJT3
ENSG00000142657,K7EM49
ENSG00000142657,P52209
ENSG00000157330,Q5VUY5
ENSG00000160049,K7ERT1
ENSG00000160049,A0A024R4H5
ENSG00000160049,O00273
ENSG00000162426,A0A2H2EQP0
ENSG00000162441,A0A024R4I7
ENSG00000162441,K7ES95
ENSG00000162441,Q8WZA0
ENSG00000162444,B1AQ60
ENSG00000162444,Q96R05
ENSG00000162490,Q8NBI3
ENSG00000162493,E7ETC6
ENSG00000162493,H0YA72
ENSG00000162493,D6RH07
ENSG00000162493,Q86YL7
ENSG00000162494,Q5VT99
ENSG00000162496,Q5SUY4
ENSG00000162496,A0A087WTY3
ENSG00000162496,O75911
ENSG00000171603,Q5SR54
ENSG00000171603,O94985
ENSG00000171608,F8W9P4
ENSG00000171608,Q5SR50
ENSG00000171608,A0A2K8FKV1
ENSG00000171608,O00329
ENSG00000171612,Q9BSK2
ENSG00000171621,A0A024R4G8
ENSG00000171621,A2A276
ENSG00000171621,Q96BD6
ENSG00000171729,Q9BSA0
ENSG00000171729,A0A024QZ97
